type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2021-10-10 12:17:17,47.83008942,7.94876888,3,712.422,,0.011,184,18,20,,Penny
W,2021-10-10 12:27:14.999,47.82893841,7.94844829,3,714.922,,0.657,164,17,18,,Talstation hasenhorn coaster
W,2021-10-10 12:46:49,47.82137083,7.95169813,4,1088.548,,1.134,255,15,19,,Bergstation
W,2021-10-10 13:52:38.999,47.82149945,7.95209428,8,1069.112,,0.000,,8,19,,Almost top of coaster
T,2021-10-10 12:02:08.999,47.85921160,8.00589413,12,1145.542,,17.613,240,8,15,20211010-140208,GPS Logger: 20211010-140208 - Todtnau
T,2021-10-10 12:02:09.999,47.85913387,8.00567619,12,1143.327,,18.235,244,8,15,,
T,2021-10-10 12:02:10.999,47.85906217,8.00544672,8,1140.701,,18.355,248,8,15,,
T,2021-10-10 12:02:11.999,47.85900343,8.00520668,8,1139.170,,18.699,251,8,16,,
T,2021-10-10 12:02:12.999,47.85894947,8.00495890,6,1137.691,,18.468,253,8,15,,
T,2021-10-10 12:02:13.999,47.85890647,8.00470966,6,1136.516,,18.907,255,8,15,,
T,2021-10-10 12:02:14.999,47.85886608,8.00445749,6,1134.097,,19.313,255,8,15,,
T,2021-10-10 12:02:15.999,47.85882768,8.00419619,6,1132.060,,19.443,255,8,15,,
T,2021-10-10 12:02:16.999,47.85879189,8.00393066,6,1128.782,,19.813,256,8,15,,
T,2021-10-10 12:02:17.999,47.85874985,8.00366103,6,1126.690,,20.093,257,8,15,,
T,2021-10-10 12:02:18.999,47.85871198,8.00338688,6,1124.654,,20.467,257,8,15,,
T,2021-10-10 12:02:19.999,47.85867569,8.00310885,6,1124.539,,20.884,258,8,15,,
T,2021-10-10 12:02:20.999,47.85864147,8.00282846,6,1122.296,,20.492,259,8,15,,
T,2021-10-10 12:02:21.999,47.85861011,8.00255519,6,1119.816,,19.686,261,8,15,,
T,2021-10-10 12:02:22.999,47.85858160,8.00229224,6,1118.471,,18.322,260,8,15,,
T,2021-10-10 12:02:23.999,47.85855281,8.00204879,6,1117.344,,17.622,260,8,15,,
T,2021-10-10 12:02:24.999,47.85852638,8.00181458,6,1116.066,,17.787,264,8,15,,
T,2021-10-10 12:02:25.999,47.85851056,8.00157516,6,1114.708,,18.287,268,8,15,,
T,2021-10-10 12:02:26.999,47.85850757,8.00132732,6,1113.143,,18.603,274,8,15,,
T,2021-10-10 12:02:27.999,47.85852416,8.00107522,6,1111.516,,19.204,276,8,15,,
T,2021-10-10 12:02:28.999,47.85854298,8.00081979,6,1109.989,,20.044,276,8,15,,
